Gene1,Gene2,Correlation
9535,1912,0.9274698314919837
9535,1032,0.8619426125861168
9535,115727,0.8895797992452604
9535,53829,0.8668787662159895
9535,4947,0.8647947315922867
9535,5724,0.8582146414624561
9535,116844,0.8918587191008566
9535,84649,0.9342938742532497
9535,9260,0.9158882980614947
9535,23558,0.8627965833733221
9535,729737,0.9179115640696603
9535,9961,0.8747084978461175
9535,100500853,0.8666281763487895
9535,112268246,0.9578198718328425
9535,10261,0.880473273890731
9535,5899,0.8584715938833108
9535,3614,0.9133540865103527
9535,150372,0.8732009307012321
9535,2790,0.8814161807593889
9535,284996,0.8536447962652389
9535,9123,0.932475093267068
9535,9170,0.8953349014716826
9535,89849,0.8527860966428147
9535,8993,0.9109645330391707
9535,100506115,0.8751966907561276
9535,7295,0.9162978066935723
9535,8992,0.8970703032349459
9535,389541,0.8657092978290152
9535,22904,0.8726811546302143
9535,1084,0.8631206192884431
9535,5691,0.903830810525155
9535,552891,0.8808403946310279
9535,6195,0.9027874512973717
9535,8125,0.8678159722996942
9535,3015,0.8823688717350785
9535,25801,0.8832144004566767
9535,144423,0.8727193632975413
9535,80301,0.8923546171949844
6888,10581,0.9252622611160952
6888,4332,0.8979399226649539
6888,1441,0.955633847228591
6888,7305,0.909758119566934
6888,2357,0.9688659076786181
6888,10135,0.8719526872291171
6888,5552,0.9007037733806381
6888,102465993,0.9044450184740568
6888,3936,0.8686722387538861
6888,3579,0.8837536569721215
6888,8407,0.9092676198046739
6888,440926,0.9550940219546284
6888,8794,0.8807086043898562
6888,4688,0.9594153432029914
6888,5265,0.9413401756251272
6888,366,0.9091660783858476
6888,10409,0.8953903063654924
6888,3577,0.9199861222462217
6888,6286,0.8520390845419522
6888,7940,0.9789657067593265
6888,2124,0.9012561127380998
6888,728,0.9297733872425084
6888,7791,0.9265626050800306
6888,397,0.9264901043250248
6888,3020,0.9487805753288431
6888,3385,0.9305131128329346
6888,4542,0.9266753190485448
6888,8875,0.8684214221495077
6888,6688,0.9622843274014595
6888,3687,0.9096387974213713
6888,409,0.9662314787693649
6888,11151,0.9145178839005546
6888,91300,0.9075175022375879
6888,120425,0.9845043059933382
6888,597,0.8713128293488368
6888,7408,0.9703463779490485
6888,3055,0.9712947788431496
6888,51734,0.9738731218825339
6888,64386,0.9204596943270109
6888,64744,0.8629630333542462
6888,3059,0.9638470122982693
6888,976,0.8930194898393111
6888,64115,0.955581963317464
6888,9516,0.8686091404129088
6888,11337,0.8996015401747782
6888,1439,0.8858073592362579
6888,2212,0.9309476823898488
6888,10094,0.8977063823121681
6888,4046,0.9303446180083528
6888,1265,0.9079095486968922
6888,1051,0.8996663886144467
6888,63940,0.9369521368705048
6888,7846,0.8555375315239832
6888,407008,0.955393629278183
6888,4689,0.966951493437661
6888,2771,0.9059152239768432
6888,2783,0.9770067253454567
6888,2217,0.9165821715770286
6888,8031,0.8620878641135363
6888,6404,0.8993033673375354
6888,4814,0.9100954360389104
6888,1052,0.8708494179127463
6888,290,0.9250049802455264
6888,83719,0.875758929624528
6888,1192,0.9332620617704591
6888,2319,0.869876869244857
6888,80325,0.9350640094502524
6888,51312,0.9025594215194254
6888,11025,0.9175815249085769
6888,241,0.8956872765677304
6888,92799,0.9252210544083798
6888,79143,0.9598957077604894
6888,9445,0.9030729215682337
6888,391,0.9480274054868306
6888,29992,0.9369289989244225
6888,27128,0.9211046730158456
6888,5093,0.8779612016495683
6888,23214,0.8874279469097647
6888,4084,0.8851783251395325
6888,240,0.8808791867726162
6888,6386,0.9339658131299435
6888,6648,0.8927782915817936
6888,54458,0.9694459297088489
6888,5777,0.8799826771223849
6888,978,0.9548358854393609
6888,60675,0.8612169892283704
6888,4778,0.9122356132912396
6888,7454,0.9739071064945327
6888,963,0.9091446552410549
6888,23401,0.9387045559207629
6888,10487,0.9056414252654642
6888,9473,0.8695848962683128
6888,837,0.8880948311081646
6888,3303,0.8742835690415923
6888,2358,0.9056361869145507
6888,10211,0.9150936860850293
6888,84243,0.8772908924917747
6888,6398,0.9091757710074168
6888,170954,0.925516250055652
6888,126364,0.9695546564776061
6888,7132,0.9626234654193307
6888,55505,0.960731548759954
6888,146225,0.9340714930646706
6888,81671,0.9261443250019735
6888,6397,0.8769995215705609
6888,65220,0.884276503196234
6888,7879,0.9328376563049059
6888,533,0.9344171112465158
6888,54518,0.9085410799540165
6888,116985,0.9528372971981048
6888,55911,0.9077211172145452
6888,79930,0.9344757839531468
6888,87,0.9002139642512978
6888,51291,0.8899703352862753
6888,8698,0.8843007136605188
6888,26020,0.8821809503570609
6888,3310,0.9138038323942201
6888,9770,0.9386124841309227
6888,1912,0.9515749055846816
6888,1032,0.8951906605766022
6888,115727,0.9718928052388867
6888,79168,0.8601421821350067
6888,53829,0.9197515660913794
6888,7462,0.8808165270680708
6888,4947,0.9427640015163901
6888,5724,0.9593200404897761
6888,56905,0.8745531483247396
6888,84649,0.931848526531321
6888,11240,0.8658180929193521
6888,8301,0.9075558686550321
6888,4067,0.9019549384026683
6888,51170,0.9302351797690626
6888,2885,0.9044249623747829
6888,9260,0.96647894795738
6888,23558,0.9198647493397114
6888,729737,0.933039802097828
6888,126308,0.9023216106467916
6888,140885,0.9016872503723428
6888,9961,0.8966211671426128
6888,100500853,0.9124193443511623
6888,112268246,0.9595951570554724
6888,53917,0.8529973784705691
6888,10261,0.9400884088425902
6888,8650,0.9167632224172093
6888,25797,0.9116484141540866
